FISCAL_YEAR,sys_sch,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,direct_cert_perc,K12_POVERTY_STUDENT_CT,K12_STUDENT_COUNT
2022,601103,601,Appling County,103,Appling County High School,28.20000076,290,1028
2022,601177,601,Appling County,177,Appling County Elementary School,46.90000153,232,495
2022,601195,601,Appling County,195,Appling County Middle School,40.5,321,792
2022,601277,601,Appling County,277,Appling County Primary School,49.70000076,252,507
2022,6011050,601,Appling County,1050,Altamaha Elementary School,28.79999924,95,330
2022,6015050,601,Appling County,5050,Fourth District Elementary School,33.29999924,39,117
2022,602103,602,Atkinson County,103,Atkinson County High School,30,132,440
2022,602111,602,Atkinson County,111,Atkinson County Middle School,45.20000076,170,376
2022,602187,602,Atkinson County,187,Willacoochee Elementary School,59,85,144
2022,602190,602,Atkinson County,190,Pearson Elementary School,38.5,216,561
2022,603102,603,Bacon County,102,Bacon County Primary School,50,238,476
2022,603202,603,Bacon County,202,Bacon County Middle School,34.79999924,174,500
2022,603302,603,Bacon County,302,Bacon County High School,28.29999924,171,604
2022,6033050,603,Bacon County,3050,Bacon County Elementary School,39.29999924,173,440
2022,604105,604,Baker County,105,Baker County K12 School,55.59999847,158,284
2022,605100,605,Baldwin County,100,Oak Hill MS,55,607,1103
2022,605189,605,Baldwin County,189,Baldwin High School,39.09999847,497,1272
2022,605300,605,Baldwin County,300,Lakeview Academy,47.40000153,316,667
2022,605301,605,Baldwin County,301,Midway Hills Primary,52.79999924,253,479
2022,605302,605,Baldwin County,302,Lakeview Primary,46.29999924,273,589
2022,605303,605,Baldwin County,303,Midway Hills Academy,62.09999847,307,494
2022,606105,606,Banks County,105,Banks County Middle School,22.60000038,149,658
2022,606107,606,Banks County,107,Banks County Elementary School,20.79999924,123,591
2022,606199,606,Banks County,199,Banks County High School,16.39999962,145,886
2022,606205,606,Banks County,205,Banks County Primary School,27.20000076,179,658
2022,607101,607,Barrow County,101,Apalachee High School,16.20000076,310,1910
2022,607105,607,Barrow County,105,County Line Elementary School,19.70000076,102,519
2022,607106,607,Barrow County,106,Haymon-Morris Middle School,20.29999924,166,819
2022,607114,607,Barrow County,114,Bear Creek Middle School,22.70000076,142,626
2022,607189,607,Barrow County,189,Kennedy Elementary School,24.5,208,848
2022,607193,607,Barrow County,193,Bramlett Elementary School,15,94,628
2022,607198,607,Barrow County,198,Westside Middle School,24.89999962,188,755
2022,607205,607,Barrow County,205,Bethlehem Elementary School,21.60000038,159,737
2022,607289,607,Barrow County,289,Russell Middle School,22.39999962,205,916
2022,607298,607,Barrow County,298,Yargo Elementary School,16.60000038,137,824
2022,607299,607,Barrow County,299,Winder Elementary School,35.20000076,198,563
2022,607300,607,Barrow County,300,Barrow Arts and Sciences Academy,10.39999962,88,844
2022,6071050,607,Barrow County,1050,Auburn Elementary School,24.20000076,158,654
2022,6073052,607,Barrow County,3052,Winder-Barrow High School,16.70000076,309,1846
2022,6074050,607,Barrow County,4050,Holsenbeck Elementary School,22.60000038,154,681
2022,6075050,607,Barrow County,5050,Statham Elementary School,22.60000038,157,695
2022,608101,608,Bartow County,101,Woodland Middle School at Euharlee,21.10000038,146,692
2022,608104,608,Bartow County,104,Clear Creek Elementary School,24.70000076,143,578
2022,608105,608,Bartow County,105,Adairsville High School,17,185,1089
2022,608106,608,Bartow County,106,Pine Log Elementary,24.10000038,83,345
2022,608107,608,Bartow County,107,Euharlee Elementary School,21.5,94,438
2022,608114,608,Bartow County,114,Cass High School,20.10000038,305,1519
2022,608115,608,Bartow County,115,Cloverleaf Elementary,33.70000076,216,641
2022,608175,608,Bartow County,175,White Elementary School,25.29999924,133,525
2022,608177,608,Bartow County,177,Adairsville Elementary School,22.60000038,168,743
2022,608186,608,Bartow County,186,Mission Road Elementary School,26.60000038,114,428
2022,608190,608,Bartow County,190,Red Top Middle School,31.70000076,205,646
2022,608195,608,Bartow County,195,Cass Middle School,25.29999924,223,880
2022,608196,608,Bartow County,196,Allatoona Elementary School,40.20000076,157,391
2022,608198,608,Bartow County,198,Woodland High School,18.20000076,266,1461
2022,608296,608,Bartow County,296,Kingston Elementary School,34.70000076,169,487
2022,608301,608,Bartow County,301,Adairsville Middle School,21.29999924,179,840
2022,608377,608,Bartow County,377,Hamilton Crossing Elementary School,29.5,156,528
2022,608396,608,Bartow County,396,Taylorsville Elementary School,25.89999962,129,499
2022,6082052,608,Bartow County,2052,Emerson Elementary School,33.5,117,349
2022,609111,609,Ben Hill County,111,Ben Hill Elementary School,45.70000076,278,608
2022,609196,609,Ben Hill County,196,Ben Hill County Primary School,51.79999924,348,672
2022,609291,609,Ben Hill County,291,Fitzgerald High School,31.60000038,265,838
2022,609296,609,Ben Hill County,296,Ben Hill County Middle School,44.29999924,304,687
2022,609392,609,Ben Hill County,392,Hurricane Transition Academy,40.40000153,19,47
2022,610101,610,Berrien County,101,Berrien High School,23.29999924,197,845
2022,610106,610,Berrien County,106,Berrien Academy Performance Learning Center,25.70000076,18,70
2022,610194,610,Berrien County,194,Berrien Middle School,32.90000153,225,683
2022,610195,610,Berrien County,195,Berrien Elementary School,37,226,611
2022,6105050,610,Berrien County,5050,Berrien Primary School,39,262,671
2022,611103,611,Bibb County,103,Skyview Elementary School,40.70000076,153,376
2022,611104,611,Bibb County,104,Burdell Elementary School,67.19999695,293,436
2022,611105,611,Bibb County,105,Howard High School,32.09999847,358,1115
2022,611108,611,Bibb County,108,Ballard Hudson Middle School,71.5,546,764
2022,611109,611,Bibb County,109,Bruce Elementary School,71.80000305,260,362
2022,611186,611,Bibb County,186,Central High School,43.40000153,359,827
2022,611198,611,Bibb County,198,Westside High School,48.20000076,487,1011
2022,611203,611,Bibb County,203,Vineville Academy,41,185,451
2022,611204,611,Bibb County,204,Rutland High School,28.20000076,248,880
2022,611205,611,Bibb County,205,Howard Middle School,43.70000076,426,974
2022,611286,611,Bibb County,286,Northeast High School,51,369,724
2022,611298,611,Bibb County,298,Miller Magnet Middle School,48.79999924,267,547
2022,611305,611,Bibb County,305,Rutland Middle School,41.29999924,328,794
2022,611307,611,Bibb County,307,Price Academy,100,24,24
2022,611383,611,Bibb County,383,Williams Elementary School,73,216,296
2022,611386,611,Bibb County,386,Southwest High School,56,436,779
2022,611405,611,Bibb County,405,Rosa Taylor Elementary School,57,300,526
2022,611505,611,Bibb County,505,Weaver Middle School,57.20000076,522,913
2022,611605,611,Bibb County,605,Heritage Elementary School,43.09999847,229,531
2022,611705,611,Bibb County,705,Union Elementary School,70.59999847,298,422
2022,6111050,611,Bibb County,1050,Alexander II Magnet School,37.90000153,173,456
2022,6111054,611,Bibb County,1054,Bernd Elementary School,63.20000076,234,370
2022,6111067,611,Bibb County,1067,Porter Elementary School,37.70000076,135,358
2022,6111105,611,Bibb County,1105,Springdale Elementary School,23.5,112,477
2022,6111205,611,Bibb County,1205,Carter Elementary School,42.29999924,173,409
2022,6111305,611,Bibb County,1305,Lane Elementary School,55.90000153,241,431
2022,6111306,611,Bibb County,1306,Martin Luther King Jr Elementary School,70.40000153,386,548
2022,6111307,611,Bibb County,1307,Southfield Elementary School,68.59999847,512,746
2022,6111309,611,Bibb County,1309,Veterans Elementary School,68.40000153,467,683
2022,6111310,611,Bibb County,1310,John Robert Lewis Elementary School,75.59999847,490,648
2022,6111311,611,Bibb County,1311,VIP Academy (Virtual),47.79999924,219,458
2022,6112060,611,Bibb County,2060,Hartley Elementary School,78.09999847,317,406
2022,6113060,611,Bibb County,3060,Heard Elementary School,35.09999847,170,485
2022,6113067,611,Bibb County,3067,Ingram/Pye Elementary School,81.69999695,308,377
2022,6115050,611,Bibb County,5050,Appling Middle School,62.79999924,429,683
2022,612105,612,Bleckley County,105,Bleckley County High School,17.60000038,115,652
2022,612112,612,Bleckley County,112,Bleckley Middle School,30.10000038,171,568
2022,612115,612,Bleckley County,115,Bleckley County Success Academy,46.20000076,36,78
2022,612197,612,Bleckley County,197,Bleckley County Elementary School,33,177,537
2022,6121050,612,Bleckley County,1050,Bleckley County Primary School,31.70000076,193,608
2022,613101,613,Brantley County,101,Waynesville Primary School,49.90000153,186,373
2022,613110,613,Brantley County,110,Atkinson Elementary School,49.79999924,128,257
2022,613194,613,Brantley County,194,Brantley County Middle School,34.59999847,177,511
2022,613294,613,Brantley County,294,Nahunta Elementary School,32.90000153,91,277
2022,6131050,613,Brantley County,1050,Brantley County High School,26.70000076,249,931
2022,6132050,613,Brantley County,2050,Hoboken Elementary School,31.70000076,148,467
2022,6133050,613,Brantley County,3050,Nahunta Primary School,39.09999847,144,368
2022,614110,614,Brooks County,110,Brooks County High School,34.90000153,183,524
2022,614193,614,Brooks County,193,Quitman Elementary School,57.59999847,333,578
2022,614197,614,Brooks County,197,Brooks County Middle School,47.90000153,219,457
2022,614393,614,Brooks County,393,North Brooks Elementary School,45.79999924,164,358
2022,614394,614,Brooks County,394,Delta Innovative School,44.20000076,42,95
2022,615101,615,Bryan County,101,Dr. George Washington Carver Elementary School,12.80000019,84,658
2022,615182,615,Bryan County,182,Richmond Hill High School,6,147,2452
2022,615199,615,Bryan County,199,Richmond Hill Middle School,9.199999809,182,1968
2022,615202,615,Bryan County,202,Richmond Hill Primary School,15.80000019,97,615
2022,615286,615,Bryan County,286,Bryan County Elementary School,28.10000038,243,864
2022,615302,615,Bryan County,302,Richmond Hill Elementary School,9.899999619,65,658
2022,615402,615,Bryan County,402,Bryan County Middle School,27.29999924,116,425
2022,615502,615,Bryan County,502,Bryan County High School,21.60000038,129,598
2022,615503,615,Bryan County,503,McAllister Elementary School,2.299999952,19,825
2022,615504,615,Bryan County,504,Frances Meeks Elementary School,4,28,701
2022,616100,616,Bulloch County,100,Mill Creek Elementary School,47.59999847,256,538
2022,616107,616,Bulloch County,107,Nevils Elementary School,23.60000038,100,424
2022,616198,616,Bulloch County,198,William James Middle School,35.09999847,196,559
2022,616199,616,Bulloch County,199,Langston Chapel Elementary School,59.20000076,344,581
2022,616200,616,Bulloch County,200,Brooklet Elementary School,15,115,766
2022,616203,616,Bulloch County,203,Southeast Bulloch High School,16.89999962,192,1139
2022,616299,616,Bulloch County,299,Langston Chapel Middle School,50.20000076,407,811
2022,616300,616,Bulloch County,300,Southeast Bulloch Middle School,21.29999924,171,801
2022,616399,616,Bulloch County,399,Portal Elementary School,39.5,138,349
2022,6162050,616,Bulloch County,2050,Julia P. Bryant Elementary School,33.79999924,226,669
2022,6162054,616,Bulloch County,2054,Statesboro High School,35.29999924,629,1780
2022,6163054,616,Bulloch County,3054,Stilson Elementary School,33.20000076,133,401
2022,6164052,616,Bulloch County,4052,Portal Middle/High School,30.10000038,138,458
2022,6165050,616,Bulloch County,5050,Mattie Lively Elementary School,50.40000153,278,552
2022,6165054,616,Bulloch County,5054,Sallie Zetterower Elementary School,48.29999924,333,689
2022,617104,617,Burke County,104,Blakeney Elementary,53.29999924,378,709
2022,617188,617,Burke County,188,Burke County Middle School,45.40000153,412,907
2022,617196,617,Burke County,196,S G A Elementary School,47.20000076,118,250
2022,617288,617,Burke County,288,Burke County High School,34.90000153,424,1214
2022,6172056,617,Burke County,2056,Waynesboro Primary School,55.09999847,420,762
2022,618100,618,Butts County,100,Henderson Middle School,35.20000076,276,784
2022,618104,618,Butts County,104,Hampton L. Daughtry Elementary School,42.20000076,199,472
2022,618108,618,Butts County,108,Stark Elementary School,39.70000076,220,554
2022,618111,618,Butts County,111,Jackson Elementary School,48,230,479
2022,618190,618,Butts County,190,Jackson High School,30.5,329,1078
2022,619113,619,Calhoun County,113,Calhoun County High School,50.59999847,85,168
2022,619179,619,Calhoun County,179,Calhoun County Elementary School,65.30000305,113,173
2022,619213,619,Calhoun County,213,Calhoun County Middle School,61.09999847,66,108
2022,620100,620,Camden County,100,Mamie Lou Gross Elementary School,31.60000038,133,421
2022,620105,620,Camden County,105,Saint Marys Middle School,19.5,218,1118
2022,620110,620,Camden County,110,Saint Marys Elementary School,25.39999962,139,547
2022,620182,620,Camden County,182,Camden Middle School,21.60000038,242,1122
2022,620187,620,Camden County,187,Crooked River Elementary School,14.39999962,77,535
2022,620189,620,Camden County,189,Matilda Harris Elementary School,15.10000038,90,595
2022,620192,620,Camden County,192,Woodbine Elementary School,31.10000038,93,299
2022,620193,620,Camden County,193,Kingsland Elementary School,22.89999962,80,349
2022,620195,620,Camden County,195,David L Rainer Elementary School,19.10000038,91,477
2022,620197,620,Camden County,197,Sugarmill Elementary,13.89999962,82,589
2022,620295,620,Camden County,295,Camden County High School,12.89999962,332,2578
2022,620495,620,Camden County,495,Mary Lee Clark Elementary School,25.39999962,102,402
2022,621101,621,Candler County,101,Metter High School ,30.10000038,136,452
2022,621102,621,Candler County,102,Metter Middle School,41.59999847,210,505
2022,621302,621,Candler County,302,Metter Elementary School,46.09999847,419,909
2022,621303,621,Candler County,303,Metter College and Career Academy,36.09999847,70,194
2022,622100,622,Carroll County,100,Sharp Creek Elementary School,41.29999924,200,484
2022,622101,622,Carroll County,101,Bowdon Middle School,25.20000076,69,274
2022,622102,622,Carroll County,102,Temple Middle School,29.5,181,613
2022,622112,622,Carroll County,112,KidsPeace,100,31,31
2022,622115,622,Carroll County,115,Providence Elementary School,24.29999924,112,461
2022,622176,622,Carroll County,176,Mount Zion Elementary School,35.79999924,218,609
2022,622177,622,Carroll County,177,Central Middle School,22.5,219,975
2022,622189,622,Carroll County,189,Temple High School,26.10000038,176,674
2022,622198,622,Carroll County,198,Bay Springs Middle School,29.5,262,887
2022,622208,622,Carroll County,208,Mt. Zion Middle School ,37,124,335
2022,622212,622,Carroll County,212,Mt. Zion High School,29.60000038,133,450
2022,622305,622,Carroll County,305,Villa Rica Middle,35.79999924,186,519
2022,622377,622,Carroll County,377,Roopville Elementary School,29.60000038,112,379
2022,622405,622,Carroll County,405,Ithica Elementary ,20.5,151,736
2022,622477,622,Carroll County,477,Whitesburg Elementary School,30,133,444
2022,622605,622,Carroll County,605,Glanton-Hindsman Elementary,34.40000153,209,608
2022,622705,622,Carroll County,705,Villa Rica Elementary School,30.29999924,115,380
2022,6221054,622,Carroll County,1054,Temple Elementary School,38.09999847,219,575
2022,6222050,622,Carroll County,2050,Bowdon Elementary School,36.5,214,586
2022,6222052,622,Carroll County,2052,Central High School,16.79999924,200,1192
2022,6223050,622,Carroll County,3050,Bowdon High School,21.79999924,86,395
2022,6225050,622,Carroll County,5050,Central Elementary School,21.20000076,172,812
2022,6225052,622,Carroll County,5052,Sand Hill Elementary School,29.89999962,195,653
2022,6225054,622,Carroll County,5054,Villa Rica High School,20.79999924,349,1676
2022,623100,623,Catoosa County,100,Ringgold Primary School,24.29999924,103,423
