"","X","method","nstudents","ntests","VE","pval"
"1",1,"TTE_01",6596,109392,"5.85% (-11.38% to 20.42%)",0.482
"2",1,"TTE_02",6596,109392,"9.23% (-9.06% to 24.46%)",0.3011
"3",1,"TTE_03",1492,30087,"4.83% (-38.96% to 34.82%)",0.7976
"4",1,"TTE_04",6596,109392,"-8.35% (-34.54% to 12.75%)",0.468
"5",1,"TTE_05",6596,109392,"19.07% (1.74% to 33.34%)",0.0326
"6",1,"TTE_06",6596,109392,"51.53% (44.29% to 57.83%)",0
"7",1,"TND_01",15202,344834,"1.75% (-9.48% to 11.82%)",0.7497
"8",1,"TND_02",15202,344834,"1.7% (-24.26% to 22.24%)",0.8859
"9",1,"TND_03",2823,88967,"-1.34% (-1.5% to -1.18%)",0
"10",1,"TND_04",15202,344834,"6.47% (6.43% to 6.52%)",0
"11",1,"TND_05",15202,344834,"17.23% (-4.17% to 34.24%)",0.107
"12",1,"TND_06",15202,344834,"50.61% (50.6% to 50.62%)",0
