method,adjustment,nstudents,ntests,VE,95% CI,pval,Old VE,Old 95% CI,,,,,,,
TTE_01,No Adjustment,6596,109392,5.85%, (-11.38% to 20.42%),0.482,5.85%, (-11.38% to 20.42%),,,,,,,
TTE_02,Demographic Covariates only,6596,109392,9.23%, (-9.06% to 24.46%),0.3011,9.23%, (-9.06% to 24.46%),,,,,,,
TTE_03,Supertester Subset,1492,30087,4.83%, (-38.96% to 34.82%),0.7976,4.83%, (-38.96% to 34.82%),,,,,,,
TTE_04,Average Testing Behavior,6596,109392,-8.35%, (-34.54% to 12.75%),0.468,-8.35%, (-34.54% to 12.75%),,,,,,,
TTE_05,Time-varying Testing Behavior,6596,109392,19.07%, (1.74% to 33.34%),0.0326,7.73%, (-11.1% to 23.37%),"*** These I expected to be different, there was an error in the model formula that did not include testing covariates",,,,,,
TTE_06,Propensity Weighting,6596,109392,51.53%, (44.29% to 57.83%),0,13.40%, (-4.57% to 28.28%),,,,,,,
TND_01,No Adjustment,15202,344834,1.75%, (-9.48% to 11.82%),0.7497,1.75%, (-9.48% to 11.82%),,,,,,,
TND_02,Demographic Covariates only,15202,344834,1.70%, (-24.26% to 22.24%),0.8859,4.09%, (-9.82% to 16.24%),"These I did not expect to vary. Variation is occuring due to stochastic nature of random effects models based on the initial conditions given to the model. I can combat changes on repeat runs by setting a seed, but how do we know we chose a good seed? --> Maybe run it a handful of times with different seeds and look at the distribution of results?",,,,,,
TND_03,Supertester Subset,2823,88967,-1.34%, (-1.5% to -1.18%),0,2.58%, (2.24% to 2.92%),,,,,,,
TND_04,Average Testing Behavior,15202,344834,6.47%, (6.43% to 6.52%),0,3.92%, (-13.44% to 18.62%),,,,,,,
TND_05,Time-varying Testing Behavior,15202,344834,17.23%, (-4.17% to 34.24%),0.107,17.68%, (-1.05% to 32.94%),,,,,,,
TND_06,Propensity Weighting,15202,344834,50.61%, (50.6% to 50.62%),0,36.52%, (10.04% to 55.21%),,,,,,,
