"","X","method","nstudents","ntests","VE","pval"
"1",1,"TTE_01",6596,109392,"5.85% (-11.38% to 20.42%)",0.482
"2",1,"TTE_02",6596,109392,"9.23% (-9.06% to 24.46%)",0.3011
"3",1,"TTE_03",1492,30087,"4.83% (-38.96% to 34.82%)",0.7976
"4",1,"TTE_04",6596,109392,"-8.35% (-34.54% to 12.75%)",0.468
"5",1,"TTE_05",6596,109392,"19.07% (1.74% to 33.34%)",0.0326
"6",1,"TTE_06",6596,109392,"51.53% (44.29% to 57.83%)",0
"7",1,"TND_01",15202,344834,"1.75% (-9.48% to 11.82%)",0.7497
"8",1,"TND_02",15202,344834,"1.7% (-24.26% to 22.24%)",0.8859
"9",1,"TND_03",2823,88967,"-1.34% (-1.5% to -1.18%)",0
"10",1,"TND_04",15202,344834,"6.47% (6.43% to 6.52%)",0
"11",1,"TND_05",15202,344834,"17.23% (-4.17% to 34.24%)",0.107
"12",1,"TND_06",15202,344834,"50.61% (50.6% to 50.62%)",0
"13",1,"TTE_01",3632,55652,"-13.8% (-50.41% to 13.91%)",0.3639
"14",1,"TTE_02",3632,55652,"-21.41% (-63.42% to 9.8%)",0.2007
"15",1,"TTE_03",798,19454,"34.51% (-8.16% to 60.34%)",0.0982
"16",1,"TTE_04",3632,55652,"-111.57% (-197.27% to -50.57%)",0
"17",1,"TTE_05",3632,55652,"14.81% (-14.92% to 36.84%)",0.294
"18",1,"TTE_06",3632,55652,"-13.93% (-37.4% to 5.52%)",0.1722
"19",1,"TND_01",6423,97076,"9.11% (-11.57% to 25.96%)",0.3611
"20",1,"TND_02",6423,97076,"5.29% (-20.91% to 25.81%)",0.6629
"21",1,"TND_03",1489,39929,"29.31% (-2.37% to 51.19%)",0.0663
"22",1,"TND_04",6423,97076,"13.5% (-45.58% to 48.6%)",0.5852
"23",1,"TND_05",6423,97076,"30.57% (-34.33% to 64.11%)",0.2786
"24",1,"TND_06",6423,97076,"12.3% (-181.1% to 72.64%)",0.8252
"25",1,"TTE_01",5798,149349,"12.02% (-4.41% to 25.86%)",0.1427
"26",1,"TTE_02",5798,149349,"5.74% (-13.33% to 21.6%)",0.5295
"27",1,"TTE_03",1238,42231,"-48.3% (-117.34% to -1.19%)",0.0433
"28",1,"TTE_04",5798,149349,"-58.49% (-93.3% to -29.96%)",0
"29",1,"TTE_05",5798,149349,"13.02% (-4.58% to 27.66%)",0.1379
"30",1,"TTE_06",5798,149349,"18.18% (2.54% to 31.3%)",0.0245
"31",1,"TND_01",12875,323373,"4.29% (-8.43% to 15.52%)",0.4906
"32",1,"TND_02",12875,323373,"2.3% (-24.55% to 23.36%)",0.851
"33",1,"TND_03",2714,99104,"-16.62% (-57.54% to 13.67%)",0.3164
"34",1,"TND_04",12875,323373,"-2.33% (-20.43% to 13.04%)",0.7812
"35",1,"TND_05",12875,323373,"3.59% (-13.92% to 18.41%)",0.6673
"36",1,"TND_06",12875,323373,"5.28% (-22.69% to 26.87%)",0.6813
"37",1,"TTE_01",1716,28922,"-38.29% (-98% to 3.42%)",0.0767
"38",1,"TTE_02",1716,28922,"-40.53% (-106.32% to 4.28%)",0.0824
"39",1,"TTE_03",398,11666,"-22.22% (-122.67% to 32.92%)",0.5121
"40",1,"TTE_04",1716,28922,"-145.74% (-277.7% to -59.89%)",0
"41",1,"TTE_05",1716,28922,"-24.22% (-82.89% to 15.63%)",0.2719
"42",1,"TTE_06",1716,28922,"-8.11% (-38.75% to 15.77%)",0.5404
"43",1,"TND_01",3015,49909,"-21.99% (-60.07% to 7.03%)",0.1515
"44",1,"TND_02",3015,49909,"-32.77% (-83.39% to 3.88%)",0.0855
"45",1,"TND_03",753,23927,"-21.44% (-102.07% to 27.02%)",0.4548
"46",1,"TND_04",3015,49909,"-36.76% (-89.29% to 1.2%)",0.0591
"47",1,"TND_05",3015,49909,"-32.79% (-83.68% to 4.01%)",0.0867
"48",1,"TND_06",3015,49909,"10.51% (-11783.05% to 99.33%)",0.9645
