"","summary_2021_age_5_11","summary_2022_age_5_11","blank","summary_2021_age_12_18","summary_2022_age_12_18"
"Overall","15202","12875","","6423","3015"
"Vaccination Status","","","","",""
"Vaccinated","5070 (33.35%)","4403 (34.20%)","","3484 (54.24%)","1380 (45.77%)"
"Unvaccinated","10132 (66.65%)","8472 (65.80%)","","2939 (45.76%)","1635 (54.23%)"
"Test Result","","","","",""
"Positive","1610 (10.59%)","1053 (8.18%)","","357 (5.56%)","206 (6.83%)"
"Negative","13592 (89.41%)","11822 (91.82%)","","6066 (94.44%)","2809 (93.17%)"
"Age","","","Age","",""
"5","2006 (13.20%)","1556 (12.09%)","     12","1539 (23.96%)","1168 (38.74%)"
"6","2281 (15.00%)","1908 (14.82%)","     13","1497 (23.31%)","1029 (34.13%)"
"7","2328 (15.31%)","2040 (15.84%)","     14","1035 (16.11%)","303 (10.05%)"
"8","2294 (15.09%)","2057 (15.98%)","     15","884 (13.76%)","212 (7.03%)"
"9","2267 (14.91%)","1960 (15.22%)","     16","733 (11.41%)","167 (5.54%)"
"10","2298 (15.12%)","1887 (14.66%)","     17","665 (10.35%)","119 (3.95%)"
"11","1728 (11.37%)","1467 (11.39%)","     18","70 (1.09%)","17 (0.56%)"
"Race","","","","",""
"Black or African American","9829 (64.66%)","8336 (64.75%)","","3907 (60.83%)","2028 (67.26%)"
"White","3237 (21.29%)","2644 (20.54%)","","1675 (26.08%)","623 (20.66%)"
"Asian","232 (1.53%)","205 (1.59%)","","82 (1.28%)","30 (1.00%)"
"Hispanic/Latino","1240 (8.16%)","1095 (8.50%)","","533 (8.30%)","230 (7.63%)"
"Other","664 (4.37%)","595 (4.62%)","","226 (3.52%)","104 (3.45%)"
"Gender","","","","",""
"Female","7579 (49.86%)","6433 (49.97%)","","3404 (53.00%)","1551 (51.44%)"
"Male","7623 (50.14%)","6442 (50.03%)","","3019 (47.00%)","1464 (48.56%)"
"Prior Infections","","","","",""
"None","14007 (92.14%)","10095 (78.41%)","","5791 (90.16%)","2384 (79.07%)"
"At least one","1195 (7.86%)","2780 (21.59%)","","632 (9.84%)","631 (20.93%)"
